time,wallTime,pacc_liq,pin_LHEX_liq,Tout_LHEX_liq,Tin_LHEX_liq,cooling_power
712.6,20.978067448,155115.867876,725769.087568,310.529121712,314.49600225,4.8
713.6,20.996012443,155114.159463,725792.3367389999,310.517979614,314.484910913,4.8
714.6,21.013093668,155112.45368,725815.533709,310.506838328,314.473861055,4.8
715.6,21.030148882,155110.747535,725838.7495479999,310.495698412,314.462799702,4.8
716.6,21.056916569,155109.04185799998,725861.9644579999,310.484561084,314.451740023,4.8
717.6,21.081859447,155107.33330199998,725885.2570539999,310.473420759,314.440629309,4.8
718.6,21.103965332,155105.62711,725908.50385,310.462279281,314.429557382,4.8
719.6,21.120368057,155103.923974,725931.690093,310.451141645,314.418532692,4.8
720.6,21.138565943,155102.219085,725954.924798,310.440005061,314.407472871,4.8
721.6,21.156013536,155100.514848,725978.153264,310.428870253,314.396418706,4.8
722.6,21.187652965,155098.810642,726001.390118,310.41773558,314.385360752,4.8
723.6,21.208103281,155097.104562,726024.683924,310.406601372,314.374267008,4.8
724.6,21.265802536,155095.39945199998,726047.960634,310.395464926,314.363188662,4.8
725.6,21.28356252,155093.696261,726071.202654,310.384330608,314.352138225,4.8
726.6,21.305829286,155091.99279699998,726094.4608969999,310.373198149,314.341078367,4.8
727.6,21.32313361,155090.29422799998,726117.611987,310.362071506,314.330092952,4.8
728.6,21.343841206,155088.589767,726140.911655,310.350944762,314.319001525,4.8
729.6,21.363290211,155086.886039,726164.20402,310.339816283,314.307920812,4.8
730.6,21.381093525,155085.185286,726187.4353039999,310.328689202,314.296887511,4.8
731.6,21.39799804,155083.484272,726210.681597,310.317563487,314.285843946,4.8
732.6,21.415842344,155081.785235,726233.892383,310.306440605,314.274827309,4.8
733.6,21.433280899,155080.089476,726257.033755,310.295321109,314.263860467,4.8
734.6,21.449749974,155078.388925,726280.312563,310.28420948,314.252798119,4.8
735.6,21.468451719,155076.688586,726303.5848569999,310.273095473,314.241737031,4.8
736.6,21.488228204,155074.986677,726326.903233,310.261978726,314.230646733,4.8
737.6,21.505823739,155073.28820799998,726350.151674,310.250860895,314.219614853,4.8
738.6,21.526295505,155071.590059,726373.404922,310.239746393,314.208582571,4.8
739.6,21.54544191,155069.890455,726396.699664,310.228631346,314.197521609,4.8
740.6,21.561887935,155068.195912,726419.883666,310.217518527,314.186541863,4.8
741.6,21.578007908,155066.501362,726443.088178,310.206414418,314.175549838,4.8
742.6,21.594810342,155064.80516299998,726466.334754,310.195311718,314.164522553,4.8
743.6,21.62485572,155063.10624599998,726489.652965,310.184205942,314.15344669,4.8
744.6,21.648519927,155061.407713,726512.9736039999,310.173097579,314.142377411,4.8
745.6,21.666068501,155059.71248699998,726536.226653,310.161990433,314.131361373,4.8
746.6,21.683774985,155058.017414,726559.4842889999,310.150884776,314.12034347,4.8
747.6,21.70173518,155056.322719,726582.743835,310.139782661,314.109324024,4.8
748.6,21.721974936,155054.62729899999,726606.029381,310.128680221,314.098289282,4.8
749.6,21.767523568,155052.930983,726629.347895,310.117578928,314.087233828,4.8
750.6,21.786423923,155051.237689,726652.602062,310.106475482,314.076230088,4.8
751.6,21.817869382,155049.543526,726675.8851429999,310.095374154,314.0652067,4.8
752.6,21.837794106,155047.848859,726699.194276,310.084275864,314.054165278,4.8
753.6,21.855168461,155046.156193,726722.462677,310.073176583,314.043158239,4.8
754.6,21.874184895,155044.464478,726745.7182499999,310.062079781,314.032160687,4.8
755.6,21.897529791,155042.770204,726769.044484,310.05098522,314.021114007,4.8
756.6,21.915633546,155041.077564,726792.3403919999,310.039889864,314.010092,4.8
757.6,21.932346691,155039.389894,726815.5358879999,310.028801275,313.99914509,4.8
758.6,21.96744541,155037.6969,726838.861682,310.017712741,313.988101809,4.8
759.6,21.986177095,155036.005891,726862.1476039999,310.006623647,313.977088653,4.8
760.6,22.00436145,155034.31560499998,726885.42901,309.995536713,313.966082015,4.8
761.6,22.025756325,155032.624787,726908.733213,309.984450511,313.955062556,4.8
762.6,22.070117306,155030.934889,726932.024202,309.973363358,313.944056373,4.8
763.6,22.08703644,155029.24855699998,726955.240076,309.962280414,313.933103785,4.8
764.6,22.106125755,155027.556956,726978.593422,309.951199135,313.92205394,4.8
765.6,22.12460347,155025.867827,727001.897395,309.940117002,313.911044183,4.8
766.6,22.141260934,155024.17887099998,727025.2075169999,309.929035268,313.900034841,4.8
767.6,22.158497088,155022.488732,727048.553732,309.917952749,313.889001007,4.8
768.6,22.178651283,155020.800805,727071.858697,309.906870698,313.878001736,4.8
769.6,22.197037058,155019.11320999998,727095.1663309999,309.895790924,313.867003228,4.8
770.6,22.214401882,155017.425126,727118.4933079999,309.884711215,313.855993722,4.8
771.6,22.259437384,155015.738547,727141.7931639999,309.873633702,313.845004221,4.8
772.6,22.277316299,155014.052532,727165.088402,309.862558513,313.834018458,4.8
773.6,22.299223464,155012.36392899998,727188.4561749999,309.851483312,313.822984416,4.8
774.6,22.318316318,155010.678636,727211.752385,309.840409548,313.81200225,4.8
775.6,22.335928763,155008.99391699999,727235.045233,309.829337538,313.801023968,4.8
776.6,22.375453033,155007.307371,727258.393222,309.818265193,313.790011013,4.8
777.6,22.393418088,155005.624057,727281.6728429999,309.807193845,313.779049777,4.8
778.6,22.429634127,155003.939579,727304.995246,309.796126736,313.768060367,4.8
779.6,22.447300651,155002.25351,727328.3645799999,309.785058962,313.757040377,4.8
780.6,22.463926416,155000.57353999998,727351.5922249999,309.7739944,313.74611835,4.8
781.6,22.500524596,154998.889051,727374.9397699999,309.76293362,313.735109981,4.8
782.6,22.524981151,154997.203815,727398.314454,309.751869817,313.724087845,4.8
783.6,22.542808745,154995.521191,727421.6380169999,309.740806131,313.713108096,4.8
784.6,22.56047421,154993.837225,727445.0010599999,309.729742067,313.702103311,4.8
785.6,22.577495994,154992.155394,727468.326824,309.718681463,313.691126963,4.8
786.6,22.596149999,154990.47305,727491.671784,309.707621274,313.680137966,4.8
